COD_STRUTTURA_OD,COD_STRUTTURA,COD_REGIONE,COD_ASL,STRUTTURA,PARTITA_IVA,SITO_WEB,E_MAIL,COD_COMUNE,COMUNE,INDIRIZZO,CAP,TELEFONO,FAX,COD_TIPO_ASSISTENZA,ASSISTENZA,COD_TIPO_RAPPORTO,TIPO_RAPPORTO,TIPO_STRUTTURA,LATITUDINE_P,LONGITUDINE_P,LATITUDINE_V,LONGITUDINE_V
STR042101020101S01,20101,42,101,POLIAMBULATORIO TONADICO,1429410226.0,www.apss.tn.it, ,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764444,0439764413,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.177751,11.831519,46.177751,11.831519
STR042101020101S02,20101,42,101,POLIAMBULATORIO TONADICO,1429410226.0,www.apss.tn.it, ,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764444,0439764413,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.177751,11.831519,46.177751,11.831519
STR042101020102S04,20102,42,101,CONSULTORIO  PRIMIERO,1429410226.0,www.apss.tn.it,consultorio.familiare.tonadico@apss.tn.it,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764480,0439764413,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.177751,11.831519,46.177751,11.831519
STR042101020301S09,20301,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CANAL S.BOVO,481180222.0,www.apspvalledelvanoi.it,info@apspvalledelvanoi.it,22038,CANAL SAN BOVO,VIA DANOLI  15,38050,439719009,0439719448,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.155424,11.734069,46.155424,11.734069
STR042101020401S09,20401,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TRANSACQUA,374850220.0,www.apsp-primiero.net,segreteria@apsp-primiero.net,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIALE MARCONI  19,38054,43962371,0439765406,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.175432,11.824865,46.175432,11.824865
STR042101030101S01,30101,42,101,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,1429410226.0,www.apss.tn.it,ariella.zilli@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755217,0461755117,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0568,11.4646,46.0568,11.4646
STR042101030101S02,30101,42,101,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,1429410226.0,www.apss.tn.it,ariella.zilli@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755217,0461755117,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0568,11.4646,46.0568,11.4646
STR042101030101S03,30101,42,101,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,1429410226.0,www.apss.tn.it,ariella.zilli@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755217,0461755117,S03,ATTIVITA` DI LABORATORIO,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0568,11.4646,46.0568,11.4646
STR042101030102S01,30102,42,101,CENTRO DIALISI BORGO,1429410226.0,www.apss.tn.it, ,22022,BORGO VALSUGANA,VIA VICENZA  9,38051,461755264, ,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.0568,11.4646,46.0568,11.4646
STR042101030401S04,30401,42,101,CONSULTORIO  BORGO,1429410226.0,www.apss.tn.it,consultoriofamiliareborgo@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755650,0461755658,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.054643,11.46004,46.054643,11.46004
STR042101030402S05,30402,42,101,CENTRO SALUTE MENTALE BORGO E TONADICO,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755208,0461755206,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.0568,11.4646,46.0568,11.4646
STR042101030403S05,30403,42,101,CENTRO DIURNO PSICHIATRICO BORGO/TONADICO,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22022,BORGO VALSUGANA,VIALE VICENZA  9,38051,461755208,0461755206,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.0568,11.4646,46.0568,11.4646
STR042101030404S05,30404,42,101,CENTRO SALUTE MENTALE BORGO E TONADICO - AMB. TONADICO,1429410226.0, ,psichiatriapergine@apss.tn.it,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIA ROMA  1,38054,439764453,0439764454,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.177751,11.831519,46.177751,11.831519
STR042101030405S09,30405,42,101,CENTRO DIURNO PER ANZIANI - SCURELLE,988390225.0, ,info@apspborgo.it,22171,SCURELLE,VIA XV AGOSTO  48,38050,461754123,0461752909,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.0639666,11.5127521,46.0639666,11.5127521
STR042101032001S09,32001,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA CASTELLO TESINO,1025950229.0,www.apspsuoragnese.it,info@apspsuoragnese.it,22048,CASTELLO TESINO,V OSPEDALE 12,38053,461594166,0461592959,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.064522,11.633137,46.064522,11.633137
STR042101032002S09,32002,42,101,CENTRO DIURNO PER ANZIANI - CASTELLO TESINO,1025950229.0, ,upipa.castellotesino@mail.infotn.it,22048,CASTELLO TESINO,VIA F LLI BALLERIN  1,38051,461594166,0461592959,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.061351,11.632966,46.061351,11.632966
STR042101032003S11,32003,42,101,COMUNITA' RESIDENZIALE TEMPORANEA MASO TOFFA,1848220222.0,www.oltre.coop,masotoffa@oltre.coop,22041,CARANO,LOCALITA  CELA  16,38033,462235298,0462235298,S11,ASSISTENZA AI DISABILI PSICHICI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.293533,11.417995,46.293533,11.417995
STR042101032101S09,32101,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PIEVE TESINO,1007740226.0,www.piccolospedale.it,upipa.pievetesino@mail.infotn.it,22142,PIEVE TESINO,VIA BATTAGLION FELTRE  19,38050,461594179,0461592034,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.065043,11.633105,46.065043,11.633105
STR042101032201S09,32201,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA STRIGNO,1008300228.0,www.apspstrigno.it,segreteria@apspstrigno.it,22240,CASTEL IVANO,VIA BORGO ALLOCCO  2,38059,461762009,0461781199,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.06942,11.525145,46.06942,11.525145
STR042101032301S09,32301,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA RONCEGNO,989210224.0,www.upipa.tn.it,upipa.roncegno@mail.infotn.it,22156,RONCEGNO TERME,VIA ALLE FONTI 1,38050,461764607,0461764323,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.05322,11.406355,46.05322,11.406355
STR042101032401S09,32401,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA BORGO VALSUGANA,988390225.0,www.apspborgo.it,info@apspborgo.it,22022,BORGO VALSUGANA,VIA PER TELVE  7,38051,461754123,0461752909,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.058153,11.468989,46.058153,11.468989
STR042101032501S09,32501,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA GRIGNO,1584010225.0,www.apspgrigno.it,info@apspgrigno.it,22095,GRIGNO,VIA VITTORIO EMANUELE  131,38055,461765118,0461765108,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.016024,11.633234,46.016024,11.633234
STR042101040101S01,40101,42,101,POLIAMBULATORIO DI PERGINE,1429410226.0,www.apss.tn.it,marina.lazzeri@apss.tn.it,22139,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,0461515198,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0633,11.2449,46.0633,11.2449
STR042101040101S02,40101,42,101,POLIAMBULATORIO DI PERGINE,1429410226.0,www.apss.tn.it,marina.lazzeri@apss.tn.it,22139,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,0461515198,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0633,11.2449,46.0633,11.2449
STR042101040101S03,40101,42,101,POLIAMBULATORIO DI PERGINE,1429410226.0,www.apss.tn.it,marina.lazzeri@apss.tn.it,22139,PERGINE VALSUGANA,VIA S PIETRO  2,38057,461515111,0461515198,S03,ATTIVITA` DI LABORATORIO,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0633,11.2449,46.0633,11.2449
STR042101040102S04,40102,42,101,CONSULTORIO  PERGINE,1429410226.0,www.apss.tn.it, ,22139,PERGINE VALSUGANA,VIA S  PIETRO  2,38057,461515367,0461515392,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.0633,11.2449,46.0633,11.2449
STR042101040103S05,40103,42,101,CENTRO SALUTE MENTALE PERGINE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA S  PIETRO  14,38057,461515466,0461515291,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.0633,11.2449,46.0633,11.2449
STR042101040104S05,40104,42,101,APSS - RSA PSICHIATRICA,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA S  PIETRO  2,38057,461515317,0461515319,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,11.2449,46.0633,11.2449,46.0633
STR042101040104S09,40104,42,101,APSS - RSA PSICHIATRICA,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA S  PIETRO  2,38057,461515317,0461515319,S09,ASSISTENZA AGLI ANZIANI,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.0633,11.2449,46.0633,11.2449
STR042101040104S11,40104,42,101,APSS - RSA PSICHIATRICA,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA S  PIETRO  2,38057,461515317,0461515319,S11,ASSISTENZA AI DISABILI PSICHICI,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.0633,11.2449,46.0633,11.2449
STR042101040105S05,40105,42,101,CENTRO DIURNO PSICHIATRICO PERGINE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA SAN PIETRO 14,38057,461515466,0461515291,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.0607017,11.2351627,46.0607017,11.2351627
STR042101040201S01,40201,42,101,PRESIDIO OSPEDALIERO VILLA ROSA,1429410226.0,www.apss.tn.it,villarosa@tn.apss.tn.it,22139,PERGINE VALSUGANA,VIA SPOLVERINE  84,38057,461501500,0461501580,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.06526,11.249487,46.06526,11.249487
STR042101040301S01,40301,42,101,POLIAMBULATORIO DI LEVICO - TN,1429410226.0,www.apss.tn.it, ,22104,LEVICO TERME,VIA SLUCCA DE MATTEONI  10,38056,461727812,0461727834,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.009549,11.303954,46.009549,11.303954
STR042101040401S08,40401,42,101,LEVICOFIN S.R.L.,1520320225.0,www.termedilevico.it,info@termedilevico.it,22104,LEVICO TERME,VIALE VITTORIO EMANUELE  10,38056,461706077,0461702359,S08,ASSISTENZA IDROTERMALE,2,STRUTTURA NON DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.014222,11.297645,46.014222,11.297645
STR042101040501S05,40501,42,101,RESIDENZA PSICHIATRICA PERUSINI,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA SAN PIETRO  2,38057,461515313,0461515318,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.0517181,11.2189907,46.0517181,11.2189907
STR042101040502S05,40502,42,101,RESIDENZE PSICHIATRICHE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA SAN PIETRO,38057,461515317,0461515317,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,11.2449,46.0633,11.2449,46.0633
STR042101040502S11,40502,42,101,RESIDENZE PSICHIATRICHE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA SAN PIETRO,38057,461515317,0461515317,S11,ASSISTENZA AI DISABILI PSICHICI,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,11.2449,46.0633,11.2449,46.0633
STR042101040503S05,40503,42,101,RESIDENZA PSICHIATRICA LEVICO - I RODODENDRI,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22104,LEVICO TERME,VIA SLUCCA DE MATTEONI  10,38056,461727832,0461727844,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.009549,11.303954,46.009549,11.303954
STR042101040504S05,40504,42,101,RESIDENZA PER L'ESECUZIONE DELLE MISURE DI SICUREZZA - REMS PERGINE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22139,PERGINE VALSUGANA,VIA SAN PIETRO  2,38057,461515138,0461515137,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,11.2449,46.0633,11.2449,46.0633
STR042101041201S09,41201,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PERGINE,358720225.0,www.apsp-pergine.it,amministrazione@apsp-pergine.it,22139,PERGINE VALSUGANA,VIA MARCONI  4,38057,461706434,0461706232,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.063539,11.243005,46.063539,11.243005
STR042101041202S01,41202,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA PERGINE - AMB. FKT,358720225.0, ,amministrazione@casariposopergine.it,22139,PERGINE VALSUGANA,VIA PIVE  7,38057,461531002,0461532971,S01,ATTIVITA` CLINICA,2,STRUTTURA NON DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.063539,11.243005,46.063539,11.243005
STR042101041204S09,41204,42,101,CENTRO DIURNO PER ANZIANI - PERGINE,358720225.0, ,amministrazione@apsp-pergine.it,22139,PERGINE VALSUGANA,VIA MARCONI  4,38057,461531002,0461532971,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.064968,11.2429,46.064968,11.2429
STR042101041205S09,41205,42,101,CENTRO DIURNO PRESA IN CARICO DEMENZE APSP,358720225.0,www.apsp-pergine.it,amministrazione@apsp-pergine.it,22139,PERGINE VALSUGANA,VIA MARCONI  4,38057,461531002,0461532971,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,11.2429,46.064968,11.2429,46.064968
STR042101041301S09,41301,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA LEVICO TERME,619100225.0,www.apsplevicoterme.it,segreteria@apsplevicoterme.it,22104,LEVICO TERME,VIA C CAVOUR  65,38056,461706225,0461706232,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.009411,11.302842,46.009411,11.302842
STR042101041304S09,41304,42,101,CENTRO DIURNO PER ANZIANI - LEVICO TERME,619100225.0, ,segreteria@apsplevicoterme.it,22104,LEVICO TERME,VIA CASOTTE  2,38056,461706464,0461706232,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA SEMIRESIDENZIALE,46.009267,11.302676,46.009267,11.302676
STR042101041305S10,41305,42,101,CENTRO DON ZIGLIO -CENTRO RESIDENZIALE DISABILI - LEVICO TERME,272610221.0,www.centrodonziglio.it,info@centrodonziglio.it,22104,LEVICO TERME,VIA SILVA DOMINI  37,38056,461706055,0461702007,S10,ASSISTENZA AI DISABILI FISICI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.012926,11.30383,46.012926,11.30383
STR042101041401S09,41401,42,101,RSA - SPES VILLA ALPINA - BASELGA DI PINE',251510228.0,www.gruppospes.it,villaalpina@gruppospes.it,22009,BASELGA DI PINÈ,VIA IV NOVEMBRE  29 MONTAGNAGA,38042,461559500,0461559599,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.103828,11.237955,46.103828,11.237955
STR042101041501S11,41501,42,101,COMUNITA' RESIDENZIALE TEMPORANEA PICCOLO PRINCIPE,1186250229.0, ,principeprimiero@gmail.com,22245,PRIMIERO SAN MARTINO DI CASTROZZA,VIA MARCONI  7   PIEVE,38054,43964672,043964672,S11,ASSISTENZA AI DISABILI PSICHICI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.173383,11.825447,46.173383,11.825447
STR042101041601S09,41601,42,101,CASA SANTA MARIA - COOP. KALEIDOSCOPIO SCS,1522650223.0,www.casasantamaria.trentino.it,info@casasantamaria.trentino.it,22236,ALTOPIANO DELLA VIGOLANA,VIA AL CASTELLO  39,38049,461848568,0461819434,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.005528,11.20397,46.005528,11.20397
STR042101050101S01,50101,42,101,PRESIDIO OSPEDALIERO S.CHIARA,1429410226.0,www.apss.tn.it, ,22205,TRENTO,LARGO MEDAGLIE D'ORO  1,38122,461903111,0461903574,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0564,11.1342,46.0564,11.1342
STR042101050101S02,50101,42,101,PRESIDIO OSPEDALIERO S.CHIARA,1429410226.0,www.apss.tn.it, ,22205,TRENTO,LARGO MEDAGLIE D'ORO  1,38122,461903111,0461903574,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0564,11.1342,46.0564,11.1342
STR042101050101S03,50101,42,101,PRESIDIO OSPEDALIERO S.CHIARA,1429410226.0,www.apss.tn.it, ,22205,TRENTO,LARGO MEDAGLIE D'ORO  1,38122,461903111,0461903574,S03,ATTIVITA` DI LABORATORIO,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0564,11.1342,46.0564,11.1342
STR042101050102S01,50102,42,101,CENTRO DIALISI TRENTO,1429410226.0,www.apss.tn.it, ,22205,TRENTO,LARGO MEDAGLIE D ORO  9,38122,461903104,0461903323,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.0564,11.1342,46.0564,11.1342
STR042101050103S01,50103,42,101,POLIAMBULATORI S.CHIARA,1429410226.0,www.apss.tn.it, ,22205,TRENTO,VIA GOCCIADORO  82,38122,461903643, ,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.05572,11.131942,46.05572,11.131942
STR042101050201S01,50201,42,101,PRESIDIO OSPEDALIERO VILLA IGEA,1429410226.0,www.apss.tn.it, ,22205,TRENTO,VIA MALTA  16,38122,461903111, ,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.0617,11.1279,46.0617,11.1279
STR042101050400S12,50400,42,101,HOSPICE TRENTO VILLA IGEA,1429410226.0,www.apss.tn.it,CurePalliativeHospice@apss.tn.it,22205,TRENTO,VIA MALTA  16,38122,461611137,0461611133,S12,ASSISTENZA AI MALATI TERMINALI,1,STRUTTURA DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.0617,11.1279,46.0617,11.1279
STR042101050401S01,50401,42,101,PRESIDIO OSPEDALIERO S.GIOVANNI,1429410226.0,www.apss.tn.it, ,22117,MEZZOLOMBARDO,VIA DEGLI ALPINI  7,38017,461611111,0461611239,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.2127,11.0958,46.2127,11.0958
