COD_TIPO_RAPPORTO,TIPO_RAPPORTO,COD_PRESTAZIONE,DESC_PRESTAZIONE,ANNO,NUMERO
1,STRUTTURA DIRETTAMENTE GESTITA,0825,DEMOLIZIONE DI LESIONE DELLA PALPEBRA INTERVENTO PER  BLEFAROCALASI,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,083,CORREZIONE DI BLEFAROPTOSI/RETRAZIONE PALPEBRALE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,0841,RIPARAZIONE DI ENTROPION O ECTROPION CON TERMOCOAGULAZIONE,2017,25
1,STRUTTURA DIRETTAMENTE GESTITA,0842,RIPARAZIONE DI ENTROPION O ECTROPION CON TECNICA DI SUTURA,2017,10
1,STRUTTURA DIRETTAMENTE GESTITA,0843,RIPARAZIONE DI ENTROPION O ECTROPION CON RESEZIONE CUNEIFORME,2017,50
1,STRUTTURA DIRETTAMENTE GESTITA,0844,RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA RIPARAZIONE DI ECTROPION CON I,2017,3
1,STRUTTURA DIRETTAMENTE GESTITA,0882,"RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE,  NON A TUTTO SPESSORE",2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,0886,PLASTICA PALPEBRA SUPERIORE,2017,32
1,STRUTTURA DIRETTAMENTE GESTITA,0887,PLASTICA PALPEBRA INFERIORE,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,0891,DEPILAZIONE ELETTROCHIRURGICA DELLA PALPEBRA,2017,3
1,STRUTTURA DIRETTAMENTE GESTITA,0919,ALTRE PROCEDURE DIAGNOSTICHE SULL'APPARATO LACRIMALE TEST DI SCHIRMER ESCLUSO: DACRIOCISTOGRAMMA PER,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,0941,SPECILLAZIONE DEL PUNTO LACRIMALE,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,0942,"SPECILLAZIONE DEI CANALICOLI LACRIMALI INCLUSO: RIMOZIONE DI CALCOLO, DILATAZIONE (PER CICLO TERAPEU",2017,7
1,STRUTTURA DIRETTAMENTE GESTITA,0943,"SPECILLAZIONE DEL DOTTO NASO-LACRIMALE INCLUSO: RIMOZIONE DI CALCOLO, DILATAZIONE (PER CICLO TERAPEU",2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,0951,INCISIONE DEL PUNTO LACRIMALE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,1021,BIOPSIA DELLA CONGIUNTIVA,2017,12
1,STRUTTURA DIRETTAMENTE GESTITA,1031,ASPORTAZIONE DI LESIONE O TESSUTO DELLA CONGIUNTIVA ASPORTAZIONE DI ANELLO CONGIUNTIVALE ATTORNO ALL,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,1032,"DEMOLIZIONE DI  LESIONE DELLA CONGIUNTIVA ESCLUSO: ASPORTAZIONE DI LESIONE (10.31), TERMOCAUTERIZZAZ",2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,104,CONGIUNTIVOPLASTICA,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,1091,INIEZIONE SOTTOCONGIUNTIVALE,2017,12
1,STRUTTURA DIRETTAMENTE GESTITA,1129,CONTA ENDOTELIALE (ESAME DELLA SUPERFICIE POSTERIORE DELLA CORNEA,2017,9
1,STRUTTURA DIRETTAMENTE GESTITA,1131,TRASPOSIZIONE DELLO PTERIGIUM,2017,67
1,STRUTTURA DIRETTAMENTE GESTITA,1132,ASPORTAZIONE DELLO PTERIGIUM CON INNESTO DELLA CORNEA,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,1139,ALTRA ASPORTAZIONE DELLO PTERIGIUM,2017,13
1,STRUTTURA DIRETTAMENTE GESTITA,11991,APPLICAZIONE TERAPEUTICA DI LENTE A CONTATTO,2017,3
1,STRUTTURA DIRETTAMENTE GESTITA,11995,"CROSS LINKING CORNEALE. INCLUDE ESAMI PREOPERATORI, INTERVENTO, PRESTAZIONI DI CONTROLLO ENTRO 6 MES",2017,17
1,STRUTTURA DIRETTAMENTE GESTITA,1214,IRIDECTOMIA IRIDECTOMIA (BASALE) (PERIFERICA) (TOTALE) (IRIDECTOMIA MEDIANTE LASER) ESCLUSO: IRIDECT,2017,226
1,STRUTTURA DIRETTAMENTE GESTITA,122,ALTRO  122,2017,13
1,STRUTTURA DIRETTAMENTE GESTITA,123,ALTRO  123,2017,18
1,STRUTTURA DIRETTAMENTE GESTITA,1240,"RIMOZIONE DI LESIONE DEL SEGMENTO ANTERIORE DELL'OCCHIO, NAS",2017,3
1,STRUTTURA DIRETTAMENTE GESTITA,1241,"DEMOLIZIONE DI LESIONE DELL' IRIDE, NON ESCISSIONALE DEMOLIZIONE DI LESIONE DELL'IRIDE PER MEZZO DI:",2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,125,ALTRO  125,2017,9
1,STRUTTURA DIRETTAMENTE GESTITA,1272,CICLOCRIOTERAPIA,2017,3
1,STRUTTURA DIRETTAMENTE GESTITA,1273,CICLOFOTOCOAGULAZIONE,2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,1291,SVUOTAMENTO TERAPEUTICO DELLA CAMERA ANTERIORE PARACENTESI DELLA CAMERA ANTERIORE,2017,6
1,STRUTTURA DIRETTAMENTE GESTITA,1364,CAPSULOTOMIA YAG-LASER PER CATARATTA SECONDARIA SEPARAZIONE DI MEMBRANA SECONDARIA (DOPO CATARATTA),2017,909
1,STRUTTURA DIRETTAMENTE GESTITA,1370,IMPIANTI DI LENTE INTRAOCULARE (IOL),2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,1371,INTERVENTO DI CATARATTA CON IMPIANTO DI LENTE INTRAOCULARE. INCLUSO ESAMI PRE-OPERATORI E CONTROLLI,2017,3622
1,STRUTTURA DIRETTAMENTE GESTITA,1433,RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE  CON XENON (LASER),2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,1434,RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE  CON ARGON (LASER),2017,603
1,STRUTTURA DIRETTAMENTE GESTITA,1475,INIEZIONE INTRAVITREALE DI SOSTANZE TERAPEUTICHE (ESCLUSO FARMACO) FINO AD UN MASSIMO DI 3 SOMMINIST,2017,1626
1,STRUTTURA DIRETTAMENTE GESTITA,1691,INIEZIONE RETROBULBARE DI SOSTANZE TERAPEUTICHE ESCLUSO: INIEZIONE DI SOSTANZA PER CONTRASTO RADIOGR,2017,57
1,STRUTTURA DIRETTAMENTE GESTITA,1809,INCISIONE DI ORECCHIO ESTERNO INCISIONE DI EMATOMA DEL PADIGLIONE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,1812,BIOPSIA DELL'ORECCHIO ESTERNO,2017,8
1,STRUTTURA DIRETTAMENTE GESTITA,1829,ASPORTAZIONE O DEMOLIZIONE DI ALTRA LESIONE DELL'ORECCHIO ESTERNO CAUTERIZZAZIONE COAGULAZIONE CRIOC,2017,13
1,STRUTTURA DIRETTAMENTE GESTITA,200,MIRINGOTOMIA,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,2001,MIRINGOTOMIA CON INSERZIONE DI DRENAGGIO TIMPANICO,2017,28
1,STRUTTURA DIRETTAMENTE GESTITA,20321,BIOPSIA DELL'ORECCHIO MEDIO,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,20391,"OTOEMISSIONI ACUSTICHE SOAE, TEOAE, DPOAE",2017,91
1,STRUTTURA DIRETTAMENTE GESTITA,2101,CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE,2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,2102,CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE),2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,2103,CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE (E TAMPONAMENTO) (CURA COMPLETA),2017,159
1,STRUTTURA DIRETTAMENTE GESTITA,2122,BIOPSIA DEL NASO,2017,50
1,STRUTTURA DIRETTAMENTE GESTITA,2131,ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE,2017,84
1,STRUTTURA DIRETTAMENTE GESTITA,2171,RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO INCLUSO: CONTENZIONE E SUA RIMOZIONE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,2191,LISI DI ADERENZE DEL NASO SINECHIA NASALE,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,2271,CHIUSURA DI FISTOLA OROANTRALE CHIUSURA DI FISTOLA DEL SENO NASALE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,2301,ESTRAZIONE DI DENTE DECIDUO INCLUSO: ANESTESIA,2017,980
1,STRUTTURA DIRETTAMENTE GESTITA,2302,ESTRAZIONE INDAGINOSA DI DENTE O RADICE DECIDUO,2017,232
1,STRUTTURA DIRETTAMENTE GESTITA,23021,OTTURAZIONE SEMPLICE DECIDUO,2017,1625
1,STRUTTURA DIRETTAMENTE GESTITA,23022,OTTURAZIONE COMPLESSA DECIDUO,2017,1612
1,STRUTTURA DIRETTAMENTE GESTITA,23023,RICOSTRUZIONE DECIDUO,2017,239
1,STRUTTURA DIRETTAMENTE GESTITA,23024,PULPOTOMIA,2017,337
1,STRUTTURA DIRETTAMENTE GESTITA,23026,TRATTAMENTO ENDODONTICO MONORADICOLATO DECIDUO,2017,398
1,STRUTTURA DIRETTAMENTE GESTITA,23027,APECIFICAZIONE E/O APICOGENESI - PER SEDUTA,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,23071,PILASTRO TRANSMUCOSO PREFABBRICATO,2017,112
1,STRUTTURA DIRETTAMENTE GESTITA,2309,ESTRAZIONE DI DENTE PERMANENTE ESTRAZIONE DI ALTRO DENTE NAS INCLUSO: ANESTESIA,2017,1234
1,STRUTTURA DIRETTAMENTE GESTITA,2311,ESTRAZIONE DI RADICE RESIDUA INCLUSO: ANESTESIA,2017,1481
1,STRUTTURA DIRETTAMENTE GESTITA,2319,"ALTRA ESTRAZIONE CHIRURGICA DI DENTE ODONTECTOMIA NAS, RIMOZIONE DI DENTE INCLUSO, ALLACCIAMENTO DI",2017,2862
1,STRUTTURA DIRETTAMENTE GESTITA,23191,ESTRAZ.ELEMENTO DENTARIO IN INCLUS.OSSEA PARZ.,2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,23193,ESPOSIZIONE CHIRURGICA DI DENTE INCLUSO A SCOPO ORTODONTICO,2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,23201,"RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE FINO A DUE SUPERFICI INCLUSO: OTTURAZIONE CARIE, OTTURAZ",2017,462
1,STRUTTURA DIRETTAMENTE GESTITA,23202,RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE A TRE O PIÙ SUPERFICI E/O APPLICAZIONE DI PERNO ENDOCANA,2017,86
1,STRUTTURA DIRETTAMENTE GESTITA,23203,OTTURAZIONE PROVVISORIA,2017,2111
1,STRUTTURA DIRETTAMENTE GESTITA,23204,INCAPPUCCIAMENTO DIRETTO DENTE PERMANENTE,2017,249
1,STRUTTURA DIRETTAMENTE GESTITA,23205,OTTURAZIONE IN COMPOSITO - 1 SUPERFICIE,2017,4012
1,STRUTTURA DIRETTAMENTE GESTITA,23206,OTTURAZIONE IN AMALGAMA - 2 SUPERFICI,2017,60
1,STRUTTURA DIRETTAMENTE GESTITA,23207,OTTURAZIONE IN COMPOSITO - 2 SUPERFICI,2017,3046
1,STRUTTURA DIRETTAMENTE GESTITA,23208,OTTURAZIONE IN COMPOSITO - 3 SUPERFICI,2017,637
1,STRUTTURA DIRETTAMENTE GESTITA,23209,RICOSTRUZIONE IN AMALGAMA,2017,30
1,STRUTTURA DIRETTAMENTE GESTITA,23211,RICOSTRUZIONE IN COMPOSITO,2017,759
1,STRUTTURA DIRETTAMENTE GESTITA,233,RICOSTRUZIONE DI DENTE MEDIANTE INTARSIO RICOSTRUZIONE DI DENTE FRATTURATO,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,234,PERNO ENDOCANALARE PREFABBRICATO,2017,95
1,STRUTTURA DIRETTAMENTE GESTITA,23411,APPLICAZIONE DI CORONA IN LEGA AUREA TRATTAMENTO PER APPLICAZIONE DI CORONA FACCETTATA IN LEGA AUREA,2017,82
1,STRUTTURA DIRETTAMENTE GESTITA,2343,PERNO ENDOCANALARE FUSO,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,23431,INSERZIONE DI PROTESI RIMOVIBILE TRATTAMENTO PER APPLICAZIONE PROTESI RIMOVIBILE COMPLETA  (PER ARCA,2017,72
1,STRUTTURA DIRETTAMENTE GESTITA,23432,ALTRA INSERZIONE DI PROTESI RIMOVIBILE TRATTAMENTO PER APPLICAZIONE PROTESI RIMOVIBILE PARZIALE [PRO,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,23433,INSERZIONE DI PROTESI PROVVISORIA  RIMOVIBILE O FISSA (PER ELEMENTO),2017,40
1,STRUTTURA DIRETTAMENTE GESTITA,23434,RIBASAMENTO (DIRETTO),2017,20
1,STRUTTURA DIRETTAMENTE GESTITA,23436,RIPARAZIONE SEMPLICE,2017,14
1,STRUTTURA DIRETTAMENTE GESTITA,23437,RIPARAZIONE O MODIFICA CON IMPRONTA,2017,148
1,STRUTTURA DIRETTAMENTE GESTITA,23441,PROTESI PARZIALE RIMOVIBILE SCHELETRATA CON GANCI - PER ARCATA,2017,107
1,STRUTTURA DIRETTAMENTE GESTITA,23442,RIBASAMENTO (INDIRETTO),2017,39
1,STRUTTURA DIRETTAMENTE GESTITA,23443,AGGIUNTA O SOSTITUZIONE GANCIO FUSO IN LEGA PREZIOSA/NON PREZIOSA,2017,35
1,STRUTTURA DIRETTAMENTE GESTITA,23444,RIATTACCO DENTE,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,23446,AGGIUNTA DENTE,2017,107
1,STRUTTURA DIRETTAMENTE GESTITA,23451,RIPARAZIONE FACCETTA,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,236,IMPIANTO DI PROTESI DENTARIA IMPIANTO DENTALE ENDOOSSEO,2017,140
1,STRUTTURA DIRETTAMENTE GESTITA,23711,"TERAPIA CANALARE IN DENTE MONORADICOLATO TRATTAMENTO O PULPOTOMIA  ESCLUSO: OTTURAZIONE (23.2.1, 23.",2017,1294
1,STRUTTURA DIRETTAMENTE GESTITA,23712,"TERAPIA CANALARE IN DENTE PLURIRADICOLATO TRATTAMENTO O PULPOTOMIA  ESCLUSO: OTTURAZIONE (23.2.1, 23",2017,455
1,STRUTTURA DIRETTAMENTE GESTITA,23713,RITRATTAMENTO ENDODONTICO - 1 CANALE,2017,73
1,STRUTTURA DIRETTAMENTE GESTITA,23714,TRATTAMENTO ENDODONTICO (ALTRO CANALE AGGIUNTIVO),2017,214
1,STRUTTURA DIRETTAMENTE GESTITA,23716,RITRATTAMENTO ENDODONTICO (CANALE AGGIUNTIVO),2017,36
1,STRUTTURA DIRETTAMENTE GESTITA,23717,RITRATTAMENTO ENDODONTICO (ALTRO CANALE AGGIUNTIVO),2017,14
1,STRUTTURA DIRETTAMENTE GESTITA,2373,APICECTOMIA INCLUSO: OTTURAZIONE RETROGRADA,2017,23
1,STRUTTURA DIRETTAMENTE GESTITA,24001,GENGIVECTOMIA (PER GRUPPO DI 4 DENTI) INCLUSO: INNESTO LIBERO O PEDUNCOLATO,2017,110
1,STRUTTURA DIRETTAMENTE GESTITA,2411,BIOPSIA DELLA GENGIVA,2017,6
1,STRUTTURA DIRETTAMENTE GESTITA,2412,BIOPSIA DELL'ALVEOLO,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,24201,GENGIVOPLASTICA [CHIRURGIA PARODONTALE] LEMBO DI WIDMAN MODIFICATO CON LEVIGATURA RADICI E CURETTAGE,2017,49
1,STRUTTURA DIRETTAMENTE GESTITA,2431,ASPORTAZIONE DI LESIONE O TESSUTO DELLA GENGIVA ASPORTAZIONE DI EPULIDI  ESCLUSO: BIOPSIA DELLA GENG,2017,8
1,STRUTTURA DIRETTAMENTE GESTITA,24391,LEVIGATURA DELLE RADICI  LEVIGATURA DI RADICI E/O CURETTAGE DELLE TASCHE PARODONTALI A CIELO COPERTO,2017,8676
1,STRUTTURA DIRETTAMENTE GESTITA,24392,INTERVENTO CHIRURGICO PREPROTESICO (PER EMIARCATA),2017,481
1,STRUTTURA DIRETTAMENTE GESTITA,24393,TERAPIA PARADONTALE NON CHIRURGICA,2017,38
1,STRUTTURA DIRETTAMENTE GESTITA,24394,FULL MOUTH DISINFECTION,2017,14
1,STRUTTURA DIRETTAMENTE GESTITA,24396,APPLICAZIONE TOPICA DI MEDICAMENTI,2017,187
1,STRUTTURA DIRETTAMENTE GESTITA,24397,TEST MICROBIOLOGICI DI AUSILIO DIAGNOSTICO,2017,93
1,STRUTTURA DIRETTAMENTE GESTITA,24398,CARTELLA PARADONTALE E DOCUMENTAZ. FOTOGRAFICA,2017,58
1,STRUTTURA DIRETTAMENTE GESTITA,244,ASPORTAZIONE DI LESIONE DENTARIA DELLA MANDIBOLA ASPORTAZIONE DI LESIONE ODONTOGENICA,2017,22
1,STRUTTURA DIRETTAMENTE GESTITA,24701,TRATTAMENTO ORTODONTICO CON APPARECCHI MOBILI (PER ANNO),2017,12
1,STRUTTURA DIRETTAMENTE GESTITA,24706,TERAPIA ORTODONTICA-ORTOGNATICA ETA' EVOL - DECIDUA-MISTA - II ANNO,2017,6
1,STRUTTURA DIRETTAMENTE GESTITA,2501,BIOPSIA [AGOBIOPSIA] DELLA LINGUA,2017,21
1,STRUTTURA DIRETTAMENTE GESTITA,2591,FRENULOTOMIA LINGUALE ESCLUSO: FRENULOTOMIA LABIALE (27.91),2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,2592,FRENULECTOMIA LINGUALE ESCLUSO: FRENULECTOMIA LABIALE (27.41),2017,10
1,STRUTTURA DIRETTAMENTE GESTITA,2611,BIOPSIA [AGOBIOPSIA] DI GHIANDOLA O DOTTO SALIVARE,2017,8
1,STRUTTURA DIRETTAMENTE GESTITA,2723,BIOPSIA DEL LABBRO,2017,37
1,STRUTTURA DIRETTAMENTE GESTITA,2724,"BIOPSIA DELLA BOCCA, STRUTTURA NON SPECIFICATA",2017,334
1,STRUTTURA DIRETTAMENTE GESTITA,2741,FRENULECTOMIA LABIALE ESCLUSO: SEZIONE DEL FRENULO LABIALE (27.91),2017,6
1,STRUTTURA DIRETTAMENTE GESTITA,27491,ALTRA ASPORTAZIONE DI LESIONE DELLA BOCCA ASPORTAZIONE NEOFORMAZIONI DEL CAVO ORALE,2017,65
1,STRUTTURA DIRETTAMENTE GESTITA,2751,SUTURA DI LACERAZIONE DEL LABBRO,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,2752,SUTURA DI LACERAZIONE DI ALTRA PARTE DELLA BOCCA,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,2771,INCISIONE DELL' UGOLA,2017,7
1,STRUTTURA DIRETTAMENTE GESTITA,2791,FRENULOTOMIA LABIALE SEZIONE DEL FRENULO LABIALE ESCLUSO: FRENULOTOMIA LINGUALE (25.91),2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,28001,INCISIONE E DRENAGGIO ASCESSO PERITONSILLARE,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,2912,BIOPSIA FARINGEA,2017,81
1,STRUTTURA DIRETTAMENTE GESTITA,3142,LARINGOSCOPIA E ALTRA TRACHEOSCOPIA LARINGOSCOPIA A FIBRE OTTICHE,2017,4205
1,STRUTTURA DIRETTAMENTE GESTITA,31421,LARINGOSCOPIA INDIRETTA INCLUSO: ANESTESIA,2017,108
1,STRUTTURA DIRETTAMENTE GESTITA,31422,LARINGOSTROBOSCOPIA,2017,512
1,STRUTTURA DIRETTAMENTE GESTITA,3143,BIOPSIA [ENDOSCOPICA] DELLA LARINGE IN LARINGOSCOPIA INDIRETTA O CON FIBRE OTTICHE INCLUSO: ANESTESI,2017,12
1,STRUTTURA DIRETTAMENTE GESTITA,31482,ESAME FONETOGRAFICO,2017,172
1,STRUTTURA DIRETTAMENTE GESTITA,3193,SOSTITUZIONE DI STENT LARINGEO O TRACHEALE,2017,13
1,STRUTTURA DIRETTAMENTE GESTITA,3322,BRONCOSCOPIA CON FIBRE OTTICHE TRACHEOBRONCOSCOPIA ESPLORATIVA ESCLUSO: BRONCOSCOPIA CON BIOPSIA (33,2017,176
1,STRUTTURA DIRETTAMENTE GESTITA,3324,BIOPSIA BRONCHIALE [ENDOSCOPICA] BRONCOSCOPIA (FIBRE OTTICHE) (RIGIDA) CON: BIOPSIA ESFOLIATIVA DEL,2017,25
1,STRUTTURA DIRETTAMENTE GESTITA,33262,BIOPSIA PERCUTANEA-AGOBIOPSIA DEL POLMONE TAC-GUIDATA,2017,62
1,STRUTTURA DIRETTAMENTE GESTITA,3331,"PROTOCOLLO DIAGNOSTICO TUMORI APPARATO RESPIRATORIO COMPRENSIVO DI 2 VISITE PNEUMOLOGICHE, TAC STADI",2017,220
1,STRUTTURA DIRETTAMENTE GESTITA,3491,TORACENTESI,2017,11
1,STRUTTURA DIRETTAMENTE GESTITA,3821,BIOPSIA VASCOLARE,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,3822,ANGIOSCOPIA PERCUTANEA CAPILLAROSCOPIA  ESCLUSO: ANGIOSCOPIA DELL' OCCHIO (95.12),2017,95
1,STRUTTURA DIRETTAMENTE GESTITA,38221,CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE ESCLUSO: ANGIOSCOPIA DELL' OCCHIO (95.12),2017,234
1,STRUTTURA DIRETTAMENTE GESTITA,3859,LEGATURA E STRIPPING DI VENE (INCLUSO ESAMI PRE-OPERATORI E CONTROLLI POST-OPERATORI),2017,429
1,STRUTTURA DIRETTAMENTE GESTITA,38591,MINISTRIPPING DI VENE VARICOSE DELL' ARTO INFERIORE STRIPPING DELLE COLLATERALI,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,38942,INSERZIONE DI CATETERE VENOSO CENTRALE PER VIA PERCUTANEA CON GUIDA ECOGRAFIA/RADIOGRAFICA,2017,8
1,STRUTTURA DIRETTAMENTE GESTITA,3894F,RIMOZIONE DI CATETERE VENOSO CENTRALE,2017,11
1,STRUTTURA DIRETTAMENTE GESTITA,3895,CATETERISMO VENOSO PER DIALISI RENALE SINGOLO O DOPPIO,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,38991,INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA TC,2017,304
1,STRUTTURA DIRETTAMENTE GESTITA,38992,INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA  RM,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,3992,"INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI ESCLUSO: INIEZIONI PER VARICI ESOFAGEE, EMORROIDI (49.",2017,34
1,STRUTTURA DIRETTAMENTE GESTITA,39951,EMODIALISI IN ACETATO O IN BICARBONATO,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,39952,"EMODIALISI IN ACETATO O IN BICARBONATO, AD ASSISTENZA LIMITATA",2017,6
